[INFO] 21:43:40:382 Mi-RAM HQ/(4730:4756): Se enviaron las posiciones X: 1 e Y: 1 del Tripulante 1 de la Patota 1.

[INFO] 21:43:40:402 Mi-RAM HQ/(4730:4757): El tripulante 1 de la Patota 1 cambió del Estado N al Estado R.

[INFO] 21:43:40:422 Mi-RAM HQ/(4730:4730): ¡Se creó una conexión!
[INFO] 21:43:40:424 Mi-RAM HQ/(4730:4730): ¡Se creó una conexión!
[INFO] 21:43:40:427 Mi-RAM HQ/(4730:4758): El tripulante 1 de la Patota 1 cambió del Estado R al Estado E.

[INFO] 21:43:40:429 Mi-RAM HQ/(4730:4759): Se enviaron las posiciones X: 3 e Y: 4 del Tripulante 2 de la Patota 1.

[INFO] 21:43:40:430 Mi-RAM HQ/(4730:4730): ¡Se creó una conexión!
[INFO] 21:43:40:442 Mi-RAM HQ/(4730:4760): El tripulante 2 de la Patota 1 cambió del Estado N al Estado R.

[INFO] 21:43:40:449 Mi-RAM HQ/(4730:4730): ¡Se creó una conexión!
[INFO] 21:43:40:461 Mi-RAM HQ/(4730:4730): ¡Se creó una conexión!
[INFO] 21:43:40:463 Mi-RAM HQ/(4730:4761): El tripulante 3 de la Patota 1 cambió del Estado N al Estado R.

[INFO] 21:43:40:464 Mi-RAM HQ/(4730:4730): ¡Se creó una conexión!
[INFO] 21:43:40:466 Mi-RAM HQ/(4730:4730): ¡Se creó una conexión!
[INFO] 21:43:40:476 Mi-RAM HQ/(4730:4764): Se enviaron las posiciones X: 2 e Y: 0 del Tripulante 4 de la Patota 1.

[INFO] 21:43:40:477 Mi-RAM HQ/(4730:4763): El tripulante 4 de la Patota 1 cambió del Estado N al Estado R.

[INFO] 21:43:40:478 Mi-RAM HQ/(4730:4762): Se enviaron las posiciones X: 1 e Y: 1 del Tripulante 3 de la Patota 1.

[INFO] 21:43:40:490 Mi-RAM HQ/(4730:4730): ¡Se creó una conexión!
[INFO] 21:43:40:494 Mi-RAM HQ/(4730:4730): ¡Se creó una conexión!
[INFO] 21:43:40:503 Mi-RAM HQ/(4730:4766): Se enviaron las posiciones X: 0 e Y: 0 del Tripulante 5 de la Patota 1.

[INFO] 21:43:40:506 Mi-RAM HQ/(4730:4765): El tripulante 5 de la Patota 1 cambió del Estado N al Estado R.

